"Title","OS visits to UK:All visits Thousands-NSA"
"CDID","GMAA"
"PreUnit",""
"Unit",""
"Release date","23-01-2018"
"Next release","  22 March 2018"
"1980 JAN","739"
"1980 FEB","602"
"1980 MAR","740"
"1980 APR","1028"
"1980 MAY","1088"
"1980 JUN","1124"
"1980 JUL","1699"
"1980 AUG","1839"
"1980 SEP","1200"
"1980 OCT","963"
"1980 NOV","755"
"1980 DEC","642"
"1981 JAN","695"
"1981 FEB","540"
"1981 MAR","685"
"1981 APR","962"
"1981 MAY","1007"
"1981 JUN","1039"
"1981 JUL","1430"
"1981 AUG","1650"
"1981 SEP","1181"
"1981 OCT","954"
"1981 NOV","689"
"1981 DEC","619"
"1982 JAN","789"
"1982 FEB","578"
"1982 MAR","646"
"1982 APR","1071"
"1982 MAY","1034"
"1982 JUN","1069"
"1982 JUL","1471"
"1982 AUG","1629"
"1982 SEP","1155"
"1982 OCT","943"
"1982 NOV","661"
"1982 DEC","592"
"1983 JAN","723"
"1983 FEB","550"
"1983 MAR","740"
"1983 APR","1023"
"1983 MAY","988"
"1983 JUN","1189"
"1983 JUL","1697"
"1983 AUG","1748"
"1983 SEP","1269"
"1983 OCT","1051"
"1983 NOV","796"
"1983 DEC","690"
"1984 JAN","745"
"1984 FEB","580"
"1984 MAR","828"
"1984 APR","1170"
"1984 MAY","1096"
"1984 JUN","1316"
"1984 JUL","1763"
"1984 AUG","2011"
"1984 SEP","1406"
"1984 OCT","1093"
"1984 NOV","882"
"1984 DEC","752"
"1985 JAN","817"
"1985 FEB","652"
"1985 MAR","867"
"1985 APR","1208"
"1985 MAY","1282"
"1985 JUN","1468"
"1985 JUL","1819"
"1985 AUG","2139"
"1985 SEP","1447"
"1985 OCT","1140"
"1985 NOV","802"
"1985 DEC","809"
"1986 JAN","926"
"1986 FEB","732"
"1986 MAR","921"
"1986 APR","1028"
"1986 MAY","1125"
"1986 JUN","1167"
"1986 JUL","1680"
"1986 AUG","2048"
"1986 SEP","1337"
"1986 OCT","1195"
"1986 NOV","910"
"1986 DEC","828"
"1987 JAN","1038"
"1987 FEB","678"
"1987 MAR","925"
"1987 APR","1315"
"1987 MAY","1305"
"1987 JUN","1427"
"1987 JUL","1883"
"1987 AUG","2228"
"1987 SEP","1507"
"1987 OCT","1348"
"1987 NOV","948"
"1987 DEC","963"
"1988 JAN","1021"
"1988 FEB","792"
"1988 MAR","964"
"1988 APR","1324"
"1988 MAY","1191"
"1988 JUN","1498"
"1988 JUL","1930"
"1988 AUG","2084"
"1988 SEP","1535"
"1988 OCT","1366"
"1988 NOV","1073"
"1988 DEC","1021"
"1989 JAN","1132"
"1989 FEB","869"
"1989 MAR","1336"
"1989 APR","1302"
"1989 MAY","1388"
"1989 JUN","1575"
"1989 JUL","2071"
"1989 AUG","2257"
"1989 SEP","1633"
"1989 OCT","1448"
"1989 NOV","1183"
"1989 DEC","1145"
"1990 JAN","1184"
"1990 FEB","968"
"1990 MAR","1171"
"1990 APR","1411"
"1990 MAY","1482"
"1990 JUN","1644"
"1990 JUL","2206"
"1990 AUG","2309"
"1990 SEP","1791"
"1990 OCT","1524"
"1990 NOV","1204"
"1990 DEC","1123"
"1991 JAN","1015"
"1991 FEB","786"
"1991 MAR","1035"
"1991 APR","1321"
"1991 MAY","1474"
"1991 JUN","1502"
"1991 JUL","2007"
"1991 AUG","2281"
"1991 SEP","1724"
"1991 OCT","1484"
"1991 NOV","1299"
"1991 DEC","1197"
"1992 JAN","1200"
"1992 FEB","966"
"1992 MAR","1179"
"1992 APR","1648"
"1992 MAY","1594"
"1992 JUN","1655"
"1992 JUL","2037"
"1992 AUG","2430"
"1992 SEP","1721"
"1992 OCT","1483"
"1992 NOV","1235"
"1992 DEC","1385"
"1993 JAN","1164"
"1993 FEB","1153"
"1993 MAR","1294"
"1993 APR","1724"
"1993 MAY","1801"
"1993 JUN","1697"
"1993 JUL","2290"
"1993 AUG","2615"
"1993 SEP","1795"
"1993 OCT","1582"
"1993 NOV","1410"
"1993 DEC","1341"
"1994 JAN","1214"
"1994 FEB","1058"
"1994 MAR","1568"
"1994 APR","1668"
"1994 MAY","1725"
"1994 JUN","1876"
"1994 JUL","2338"
"1994 AUG","2555"
"1994 SEP","1998"
"1994 OCT","1800"
"1994 NOV","1532"
"1994 DEC","1462"
"1995 JAN","1482"
"1995 FEB","1167"
"1995 MAR","1568"
"1995 APR","2073"
