EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 17-02-2018
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TG   : mean temperature in 0.1 &#176;C
23-27 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GERMANY, BERLIN-BUCH (STAID: 4529).
Blended and updated with sources: 127440 127824 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TG, Q_TG
127440,19610101,   12,    0
127440,19610102,    0,    0
127440,19610103,   27,    0
127440,19610104,   16,    0
127440,19610105,   12,    0
127440,19610106,   15,    0
127440,19610107,   14,    0
127440,19610108,   24,    0
127440,19610109,   26,    0
127440,19610110,   22,    0
127440,19610111,   10,    0
127440,19610112,  -20,    0
127440,19610113,    4,    0
127440,19610114,   15,    0
127440,19610115,  -21,    0
127440,19610116,   -1,    0
127440,19610117,  -28,    0
127440,19610118,  -78,    0
127440,19610119,  -64,    0
127440,19610120,  -41,    0
127440,19610121,  -34,    0
127440,19610122,  -14,    0
127440,19610123,  -52,    0
127440,19610124,  -61,    0
127440,19610125,  -86,    0
127440,19610126, -117,    0
127440,19610127,  -99,    0
127440,19610128,  -50,    0
127440,19610129,   55,    0
127440,19610130,   53,    0
127440,19610131,   44,    0
127440,19610201,   29,    0
127440,19610202,   23,    0
127440,19610203,    5,    0
127440,19610204,    8,    0
127440,19610205,  -26,    0
127440,19610206,   29,    0
127440,19610207,   50,    0
127440,19610208,   34,    0
127440,19610209,   63,    0
127440,19610210,   42,    0
127440,19610211,   62,    0
127440,19610212,   43,    0
127440,19610213,   51,    0
127440,19610214,   62,    0
127440,19610215,   74,    0
127440,19610216,   72,    0
127440,19610217,   70,    0
127440,19610218,   50,    0
127440,19610219,   58,    0
127440,19610220,   44,    0
127440,19610221,   46,    0
127440,19610222,   42,    0
127440,19610223,   22,    0
127440,19610224,   54,    0
127440,19610225,   56,    0
127440,19610226,   56,    0
127440,19610227,   96,    0
127440,19610228,   64,    0
127440,19610301,   44,    0
127440,19610302,   54,    0
127440,19610303,   52,    0
127440,19610304,   55,    0
127440,19610305,   49,    0
127440,19610306,   69,    0
127440,19610307,   74,    0
127440,19610308,   53,    0
127440,19610309,   74,    0
127440,19610310,   99,    0
127440,19610311,   90,    0
127440,19610312,  110,    0
127440,19610313,   78,    0
127440,19610314,  104,    0
127440,19610315,  109,    0
127440,19610316,   96,    0
127440,19610317,  113,    0
127440,19610318,   84,    0
127440,19610319,   24,    0
127440,19610320,    2,    0
127440,19610321,   17,    0
127440,19610322,   24,    0
127440,19610323,   69,    0
127440,19610324,   82,    0
127440,19610325,   90,    0
127440,19610326,   85,    0
127440,19610327,   24,    0
127440,19610328,   39,    0
127440,19610329,   67,    0
127440,19610330,   61,    0
127440,19610331,   33,    0
127440,19610401,   38,    0
127440,19610402,   28,    0
127440,19610403,   38,    0
127440,19610404,   63,    0
127440,19610405,  134,    0
127440,19610406,  160,    0
127440,19610407,  159,    0
127440,19610408,   65,    0
127440,19610409,   55,    0
127440,19610410,   64,    0
127440,19610411,   90,    0
127440,19610412,  118,    0
127440,19610413,  157,    0
127440,19610414,  156,    0
127440,19610415,  120,    0
127440,19610416,  102,    0
127440,19610417,  115,    0
127440,19610418,  113,    0
127440,19610419,  104,    0
127440,19610420,  106,    0
127440,19610421,  116,    0
127440,19610422,  150,    0
127440,19610423,  155,    0
127440,19610424,  154,    0
127440,19610425,  108,    0
127440,19610426,  126,    0
127440,19610427,  124,    0
127440,19610428,  120,    0
127440,19610429,  114,    0
