date,ask_value,bid_value
2018-04-06,32.21,31.66
2018-04-05,32.26,31.73
2018-04-04,32.38,31.85
2018-04-03,32.49,31.88
2018-04-02,32.51,31.91
2018-04-01,32.60,31.96
2018-03-31,32.60,31.97
2018-03-30,32.60,31.99
2018-03-29,32.75,32.19
2018-03-28,32.77,32.20
2018-03-27,32.74,32.17
2018-03-26,32.61,32.07
2018-03-25,32.57,32.02
2018-03-24,32.58,32.03
2018-03-23,32.58,32.02
2018-03-22,32.63,32.08
2018-03-21,32.57,31.99
2018-03-20,32.75,32.15
2018-03-19,32.78,32.22
2018-03-18,32.83,32.23
2018-03-17,32.86,32.23
2018-03-16,32.87,32.20
2018-03-15,32.88,32.16
2018-03-14,32.60,32.00
2018-03-13,32.36,31.76
2018-03-12,32.51,31.86
2018-03-11,32.72,32.05
2018-03-10,32.70,32.05
2018-03-09,32.71,32.06
2018-03-08,32.77,32.12
2018-03-07,32.78,32.12
2018-03-06,32.76,32.15
2018-03-05,32.91,32.29
2018-03-04,32.99,32.35
2018-03-03,32.99,32.35
2018-03-02,32.83,32.24
2018-03-01,32.91,32.31
2018-02-28,33.10,32.52
2018-02-27,33.34,32.82
2018-02-26,33.40,32.87
2018-02-25,33.40,32.83
2018-02-24,33.41,32.84
2018-02-23,33.40,32.84
2018-02-22,33.42,32.81
2018-02-21,33.54,32.93
2018-02-20,33.76,33.09
2018-02-19,33.88,33.18
2018-02-18,34.00,33.22
2018-02-17,34.01,33.23
2018-02-16,33.99,33.23
2018-02-15,33.66,32.94
2018-02-14,33.32,32.70
2018-02-13,33.20,32.58
2018-02-12,33.39,32.74
2018-02-11,33.52,32.93
2018-02-10,33.56,32.93
2018-02-09,33.55,32.95
2018-02-08,33.77,33.07
2018-02-07,33.87,33.22
2018-02-06,34.23,33.50
2018-02-05,34.60,34.02
2018-02-04,34.64,34.04
2018-02-03,34.68,34.06
2018-02-02,34.70,34.10
2018-02-01,34.63,34.00
2018-01-31,34.62,33.93
2018-01-30,34.67,33.98
2018-01-29,35.04,34.28
2018-01-28,35.25,34.56
2018-01-27,35.29,34.63
2018-01-26,35.34,34.68
2018-01-25,35.36,34.77
2018-01-24,35.15,34.63
2018-01-23,35.08,34.57
2018-01-22,35.08,34.53
2018-01-21,35.04,34.47
2018-01-20,35.06,34.49
2018-01-19,35.06,34.51
2018-01-18,34.88,34.32
2018-01-17,34.84,34.24
2018-01-16,34.83,34.18
2018-01-15,34.67,33.95
2018-01-14,34.26,33.56
2018-01-13,34.30,33.59
2018-01-12,34.18,33.52
2018-01-11,34.00,33.34
2018-01-10,33.79,33.12
2018-01-09,33.81,33.07
2018-01-08,33.83,33.17
2018-01-07,33.82,33.14
2018-01-06,33.83,33.16
2018-01-05,33.80,33.13
2018-01-04,33.60,32.93
2018-01-03,33.58,32.87
2018-01-02,33.47,32.75
2018-01-01,33.45,32.72
2017-12-31,33.46,32.74
2017-12-30,33.46,32.75
2017-12-29,33.44,32.73
2017-12-28,33.28,32.66
2017-12-27,33.07,32.52
2017-12-26,33.09,32.54
2017-12-25,33.11,32.57
2017-12-24,33.15,32.60
2017-12-23,33.16,32.60
2017-12-22,33.16,32.60
2017-12-21,33.04,32.48
2017-12-20,33.02,32.45
2017-12-19,33.07,32.46
2017-12-18,33.15,32.46
2017-12-17,33.03,32.38
2017-12-16,33.02,32.36
2017-12-15,32.95,32.28
2017-12-14,32.78,32.14
2017-12-13,32.46,31.91
2017-12-12,32.34,31.87
2017-12-11,32.25,31.79
2017-12-10,32.23,31.78
2017-12-09,32.22,31.77
2017-12-08,32.23,31.78
2017-12-07,32.29,31.82
2017-12-06,32.33,31.87
2017-12-05,32.37,31.90
2017-12-04,32.33,31.86
2017-12-03,32.28,31.79
2017-12-02,32.28,31.79
2017-12-01,32.26,31.78
2017-11-30,32.22,31.74
2017-11-29,32.13,31.63
2017-11-28,32.03,31.55
2017-11-27,32.00,31.52
2017-11-26,31.91,31.43
2017-11-25,31.90,31.42
2017-11-24,31.89,31.42
2017-11-23,31.81,31.35
2017-11-22,31.60,31.15
